Endings,Hash Function,Noise Removal,Ellapsed Time,Join Type,Add/Sub,Q_Error,Count
"['validFrom', 'eligibleRegion']",BasicHashFunction,amin,884130917078,object subject,True,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,amin,889967738823,object subject,True,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,amin,886914316072,object subject,True,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,amin,895860265258,object subject,True,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,amin,924350828287,object subject,True,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,median,897591542942,object subject,True,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,median,923053389539,object subject,True,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,median,906801996200,object subject,True,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,median,888984359744,object subject,True,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,median,883394106264,object subject,True,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,No,896324515486,object subject,True,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,No,919927118840,object subject,True,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,No,922117965915,object subject,True,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,No,924177424155,object subject,True,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,No,920493501068,object subject,True,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,amin,595983267469,object subject,False,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,amin,595910424720,object subject,False,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,amin,593963035227,object subject,False,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,amin,597007499354,object subject,False,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,amin,593907795960,object subject,False,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,median,597144842480,object subject,False,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,median,595493346297,object subject,False,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,median,596915731824,object subject,False,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,median,593376465838,object subject,False,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,median,597400135299,object subject,False,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,No,594995557959,object subject,False,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,No,594353331501,object subject,False,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,No,595417526975,object subject,False,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,No,595190830465,object subject,False,1.0,0
"['validFrom', 'eligibleRegion']",BasicHashFunction,No,592831331207,object subject,False,1.0,0
